--- Execution profile ---
Total samples       : 51403

          ns  percent  samples  top
  ----------  -------  -------  ---
  2121000000    4.13%     2121  net.minecraft.world.level.chunk.PalettedContainer.get
  1281000000    2.49%     1281  void OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
  1100000000    2.14%     1100  itable stub
   845000000    1.64%      845  java.util.HashMap.getNode
   794000000    1.54%      794  net.minecraft.world.level.chunk.LevelChunk.getBlockStateFinal
   791000000    1.54%      791  net.minecraft.world.level.pathfinder.PathTypeCache.get
   791000000    1.54%      791  it.unimi.dsi.fastutil.objects.ReferenceOpenHashSet.contains
   760000000    1.48%      760  net.minecraft.world.level.chunk.PalettedContainer.readPalette
   757000000    1.47%      757  net.minecraft.util.SimpleBitStorage.get
   707000000    1.38%      707  /usr/lib/x86_64-linux-gnu/libc.so.6
   697000000    1.36%      697  java.util.LinkedHashMap$LinkedHashIterator.nextNode
   587000000    1.14%      587  it.unimi.dsi.fastutil.longs.Long2ObjectOpenHashMap.find
   574000000    1.12%      574  vtable stub
   552000000    1.07%      552  net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase.getBlock
   544000000    1.06%      544  net.minecraft.network.syncher.SynchedEntityData$DataItem.getValue
   538000000    1.05%      538  java.util.HashMap$HashIterator.nextNode
   497000000    0.97%      497  ca.spottedleaf.concurrentutil.map.ConcurrentLong2ReferenceChainedHashTable.getNode
   460000000    0.89%      460  void OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
   396000000    0.77%      396  net.minecraft.server.level.ServerLevel.optimiseRandomTick
   393000000    0.76%      393  ca.spottedleaf.moonrise.patches.chunk_system.level.entity.ChunkEntitySlices.getEntities
   385000000    0.75%      385  void OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, narrowOop>
   376000000    0.73%      376  java.util.LinkedHashMap.sequencedKeySet
   346000000    0.67%      346  net.minecraft.world.entity.ai.Brain.startEachNonRunningBehavior
   333000000    0.65%      333  ca.spottedleaf.moonrise.patches.chunk_system.level.entity.ChunkEntitySlices$EntityCollectionBySection.getEntities
   324000000    0.63%      324  net.minecraft.world.entity.ai.sensing.Sensor.tick
   306000000    0.60%      306  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap.get
   295000000    0.57%      295  net.minecraft.network.syncher.SynchedEntityData.getItem
   292000000    0.57%      292  WallClock::signalHandler
   290000000    0.56%      290  net.minecraft.world.level.pathfinder.PathTypeCache.compute
   286000000    0.56%      286  it.unimi.dsi.fastutil.longs.LongOpenHashSet.add
   285000000    0.55%      285  net.minecraft.world.entity.Entity.setTicksFrozen
   283000000    0.55%      283  net.minecraft.world.level.pathfinder.BinaryHeap.downHeap
   281000000    0.55%      281  net.minecraft.world.phys.AABB.intersects
   271000000    0.53%      271  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.checkNeighbourBlocks
   267000000    0.52%      267  it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap.find
   265000000    0.52%      265  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.findAcceptedNode
   257000000    0.50%      257  it.unimi.dsi.fastutil.objects.ObjectLinkedOpenHashSet$SetIterator.next
   252000000    0.49%      252  java.util.EnumMap.get
   251000000    0.49%      251  G1RebuildRSAndScrubTask::G1RebuildRSAndScrubRegionClosure::do_heap_region
   247000000    0.48%      247  net.minecraft.world.level.chunk.LevelChunk.getFluidState
   241000000    0.47%      241  net.minecraft.world.level.material.FluidState.getType
   237000000    0.46%      237  [vdso]
   234000000    0.46%      234  ca.spottedleaf.moonrise.patches.collisions.CollisionUtil.getCollisionsForBlocksOrWorldBorder
   229000000    0.45%      229  net.minecraft.world.entity.Entity.updateFluidHeightAndDoFluidPushing
   228000000    0.44%      228  java.lang.invoke.VarHandleReferences$Array.getVolatile
   228000000    0.44%      228  net.minecraft.core.BlockPos$MutableBlockPos.set
   218000000    0.42%      218  java.lang.ThreadLocal.get
   218000000    0.42%      218  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getPathTypeFromState
   217000000    0.42%      217  ca.spottedleaf.moonrise.common.util.SimpleThreadUnsafeRandom.advanceSeed
   217000000    0.42%      217  net.minecraft.world.entity.InsideBlockEffectApplier$StepBasedCollector.flushStep
   206000000    0.40%      206  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getNeighbors
   202000000    0.39%      202  G1CMTask::drain_local_queue
   200000000    0.39%      200  io.papermc.paper.util.PoiAccess.findNearestPoiRecords
   197000000    0.38%      197  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getFloorLevel
   196000000    0.38%      196  it.unimi.dsi.fastutil.objects.Reference2ObjectOpenHashMap.get
   191000000    0.37%      191  net.minecraft.util.Mth.floor
   189000000    0.37%      189  net.minecraft.world.entity.ai.sensing.Sensing.tick
   189000000    0.37%      189  net.minecraft.world.level.Level.findSupportingBlock
   189000000    0.37%      189  net.minecraft.world.entity.ai.Brain.getRunningBehaviors
   181000000    0.35%      181  it.unimi.dsi.fastutil.longs.Long2ObjectOpenHashMap.computeIfAbsent
   180000000    0.35%      180  net.minecraft.server.level.ChunkMap.isChunkNearPlayer
   172000000    0.33%      172  net.minecraft.world.entity.ai.goal.GoalSelector.tick
   172000000    0.33%      172  net.minecraft.world.level.pathfinder.PathfindingContext.getPathTypeFromState
   165000000    0.32%      165  net.minecraft.core.Holder$Reference.is
   165000000    0.32%      165  void OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<ObjArrayKlass, narrowOop>
   163000000    0.32%      163  net.minecraft.server.level.ServerEntity.sendChanges
   161000000    0.31%      161  getdents64
   161000000    0.31%      161  void G1CMTask::process_grey_task_entry<true>
   157000000    0.31%      157  net.minecraft.server.level.ChunkMap$TrackedEntity.moonrise$clearPlayers
   155000000    0.30%      155  net.minecraft.world.phys.shapes.VoxelShape.max
   153000000    0.30%      153  it.unimi.dsi.fastutil.HashCommon.mix
   152000000    0.30%      152  it.unimi.dsi.fastutil.objects.ReferenceCollections$UnmodifiableCollection.contains
   150000000    0.29%      150  ca.spottedleaf.moonrise.patches.chunk_system.level.entity.EntityLookup.getEntities
   149000000    0.29%      149  net.minecraft.world.level.BlockCollisions.computeNext
   148000000    0.29%      148  net.minecraft.world.entity.Entity.applyEffectsFromBlocks
   143000000    0.28%      143  net.minecraft.world.level.pathfinder.PathFinder.findPath
   140000000    0.27%      140  ca.spottedleaf.moonrise.common.misc.NearbyPlayers.getPlayers
   139000000    0.27%      139  ca.spottedleaf.moonrise.patches.starlight.light.SWMRNibbleArray.getVisible
   138000000    0.27%      138  G1CardSet::add_card
   138000000    0.27%      138  net.minecraft.world.entity.ai.behavior.ShufflingList$$Lambda.0x00007f6051a59728.apply
   137000000    0.27%      137  net.minecraft.world.entity.ai.goal.GoalSelector.tickRunningGoals
   136000000    0.26%      136  java.util.Arrays.copyOf
   136000000    0.26%      136  java.util.HashMap$HashIterator.<init>
   135000000    0.26%      135  G1ParScanThreadState::trim_queue_to_threshold
   133000000    0.26%      133  com.google.common.collect.RegularImmutableMap.get
   128000000    0.25%      128  net.minecraft.world.level.chunk.ChunkAccess.getHeight
   126000000    0.25%      126  java.util.Arrays.fill
   115000000    0.22%      115  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getPathTypeWithinMobBB
   115000000    0.22%      115  ca.spottedleaf.moonrise.patches.chunk_system.scheduling.ChunkHolderManager.getChunkHolder
   114000000    0.22%      114  net.minecraft.world.level.chunk.LevelChunk.getBlockState
   113000000    0.22%      113  net.minecraft.world.level.NaturalSpawner.spawnForChunk
   113000000    0.22%      113  net.minecraft.world.level.PathNavigationRegion.getChunk
   112000000    0.22%      112  net.minecraft.core.BlockPos.asLong
   112000000    0.22%      112  net.minecraft.world.level.chunk.LevelChunkSection.getNoiseBiome
   111000000    0.22%      111  net.minecraft.util.Mth.sqrt
   110000000    0.21%      110  it.unimi.dsi.fastutil.longs.Long2ObjectOpenHashMap.insert
   109000000    0.21%      109  net.minecraft.core.SectionPos.blockToSectionCoord
   109000000    0.21%      109  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getPathTypeStatic
   108000000    0.21%      108  net.minecraft.world.entity.Entity.getOnPos
   107000000    0.21%      107  java.lang.invoke.VarHandleReferences$FieldInstanceReadOnly.getVolatile
   105000000    0.20%      105  ca.spottedleaf.moonrise.common.list.ReferenceList.getRawDataUnchecked
   105000000    0.20%      105  net.minecraft.world.entity.LivingEntity.tickEffects
   103000000    0.20%      103  java.util.HashSet.iterator
    98000000    0.19%       98  pthread_cond_signal
    98000000    0.19%       98  java.lang.ThreadLocal$ThreadLocalMap.getEntry
    97000000    0.19%       97  net.minecraft.world.entity.Entity.setDeltaMovement
    97000000    0.19%       97  net.minecraft.world.entity.LivingEntity.getHealth
