--- Execution profile ---
Total samples       : 230007

          ns  percent  samples  top
  ----------  -------  -------  ---
  8951643414    3.80%     8699  void OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
  8436532357    3.58%     8368  net.minecraft.world.level.chunk.PalettedContainer.get
  4114884921    1.75%     3999  itable stub
  4038434516    1.72%     3991  java.util.HashMap.getNode
  4036603972    1.71%     3998  net.minecraft.util.SimpleBitStorage.get
  3298796957    1.40%     3274  net.minecraft.world.level.chunk.LevelChunk.getBlockStateFinal
  3151331457    1.34%     3128  java.util.LinkedHashMap$LinkedHashIterator.nextNode
  3106381154    1.32%     3106  void OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
  2958577056    1.26%     2928  net.minecraft.world.level.chunk.PalettedContainer.readPalette
  2955024929    1.26%     2934  G1ParScanThreadState::trim_queue_to_threshold
  2776567000    1.18%     2713  void OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, narrowOop>
  2614523505    1.11%     2599  it.unimi.dsi.fastutil.objects.ReferenceOpenHashSet.contains
  2505642601    1.06%     2476  net.minecraft.world.level.pathfinder.PathTypeCache.get
  2390973705    1.02%     2364  net.minecraft.network.syncher.SynchedEntityData$DataItem.getValue
  2377748637    1.01%     2366  java.util.HashMap$HashIterator.nextNode
  2334379747    0.99%     2296  vtable stub
  2303152521    0.98%     2273  it.unimi.dsi.fastutil.longs.Long2ObjectOpenHashMap.find
  2094766441    0.89%     2065  ca.spottedleaf.concurrentutil.map.ConcurrentLong2ReferenceChainedHashTable.getNode
  1917243766    0.81%     1900  net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase.getBlock
  1796552342    0.76%     1789  net.minecraft.server.level.ServerLevel.optimiseRandomTick
  1792476570    0.76%     1777  java.util.LinkedHashMap.sequencedKeySet
  1784354035    0.76%     1773  ca.spottedleaf.moonrise.patches.chunk_system.level.entity.ChunkEntitySlices.getEntities
  1782030172    0.76%     1734  ca.spottedleaf.moonrise.patches.chunk_system.level.entity.ChunkEntitySlices$EntityCollectionBySection.getEntities
  1775005001    0.75%     1773  G1RebuildRSAndScrubTask::G1RebuildRSAndScrubRegionClosure::do_heap_region
  1759657819    0.75%     1741  net.minecraft.world.entity.ai.sensing.Sensor.tick
  1483770492    0.63%     1466  net.minecraft.world.entity.Entity.setTicksFrozen
  1441037681    0.61%     1429  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap.get
  1412997817    0.60%     1343  net.minecraft.world.phys.AABB.intersects
  1377164154    0.58%     1340  G1CMTask::drain_local_queue
  1331054890    0.57%     1312  it.unimi.dsi.fastutil.longs.LongOpenHashSet.add
  1299161884    0.55%     1290  net.minecraft.world.entity.ai.Brain.startEachNonRunningBehavior
  1228834649    0.52%     1215  net.minecraft.network.syncher.SynchedEntityData.getItem
